Paper No.,PCE max (%),VOC (V),JSC (mA/cm2),FF (%),"For VOC, JSC and FF, when only average values were available instead of actual values of the best devices, the average values were listed. These data were mainly obtained from tables and the main text of articles. Some data were from the supplymentary materials."
383,0.85,0.16,12.67,42.09,
384,7.69,1.05,11.83,62,
384,6.65,0.99,11.6,58,
384,8,1.2,11.11,60,
386,9.1,0.74,17.6,70.1,
386,8.6,0.74,16.6,69.9,
386,7.9,0.74,15.5,68.8,
386,9.8,0.75,17.9,72.5,
386,11.1,0.76,19.7,73.9,
386,9.9,0.76,18.6,70.5,
397,5.01,1.02,9,54.6,
397,3.53,1.04,6.67,52.5,
399,7.41,0.87,12.71,67,
399,5.54,0.96,10.59,54.5,
399,6.07,0.99,10.3,60.1,
399,3.11,1.06,6.82,42.6,
401,11.98,0.97,18,70,
401,12.12,0.93,18.1,72,
401,10.24,0.84,17.78,69,
401,11.02,0.97,16.72,68,
401,9.22,0.88,16.37,64,
404,0.01,0.65,0.51,30.2,
404,0.82,0.766,3.28,32,
404,6.53,0.867,14.23,53,
404,6.3,0.866,13.18,55.2,
404,3.96,0.823,8.47,56.8,
404,6.54,0.869,14.09,53.8,
404,6.55,0.869,14,53.8,
404,6.56,0.865,14.25,53.2,
404,8.2,0.827,18.57,53.4,
404,7.56,0.816,17.98,51.5,
405,6.46,0.9,14.13,50,
405,4.94,0.89,9.1,61,
406,9.19,0.77,17.54,68,
406,8.47,0.79,15.62,68.4,
406,9.43,0.9,15.1,69.6,
406,7.92,0.87,13.35,68.3,
408,6.62,1,12.07,55,
408,5.78,1,10.19,57,
408,4.55,1.01,7.67,59,
409,13.5,0.83,23.24,70,
409,10.58,0.81,22.92,57,
413,3.8,0.77,10.51,47,
413,4.69,0.87,10.06,53.62,
414,9.5,0.86,17.9,61.3,
414,7.3,0.91,13.3,60.5,
414,6.5,0.89,12.3,59,
414,8.4,0.82,17.7,58,
415,7.75,0.89,14.74,59.16,
415,8.96,1.04,13.75,62.76,
415,8.57,1.02,13.75,60.81,
415,7.09,1.1,12.04,53.67,
419,6.67,0.819,16.28,50.1,
419,5.76,0.838,14.81,46.4,
421,10,0.91,15.9,69,
421,9.4,0.9,15.4,68,
421,4.4,1,8.5,52,
421,3.9,0.98,8.2,49,
424,13.46,0.89,21.21,71.55,
424,11.37,0.92,19.76,62.57,
428,2.8,0.48,10.54,56,
428,6.24,0.71,13.96,63,
438,0.14,0.51,0.84,31.64,
438,0.27,0.73,1.22,30.7,
438,0.27,0.72,1.18,31.27,
438,0.22,0.66,0.99,33.06,
438,0.03,0.28,0.35,30.84,
439,5.8,0.96,14.21,43,
439,13.32,0.78,22.92,75,
439,10.69,0.85,20.23,62,
439,7.46,0.95,15.45,51,
440,9.2,0.97,15.15,62.5,
440,4.8,0.98,11.48,42.7,
441,11.48,0.88,17.54,72.69,
441,10.9,0.89,17.24,70.98,
450,4.7,0.8,10.4,56.5,
451,10.6,0.89,16.59,71.7,
451,10.03,0.9,15.55,72.58,
451,10.9,0.89,16.76,72.89,
451,10.73,0.9,16.35,72.63,
456,6.35,0.874,13.4,54.2,
456,5.32,0.907,11.13,52.7,
468,4.2,0.78,10.56,51,
475,9.24,0.83,16.21,68.69,
475,7.1,0.88,13,61.91,
475,4.57,0.98,10.32,45.3,
491,9.42,0.8,18.02,66.19,
491,9.43,0.8,17.76,66.06,
491,7.78,0.8,15.71,61.77,
491,9.88,0.79,18.8,66.66,
491,10.32,0.79,19.55,67.17,
491,8.55,0.8,16.56,64.58,
493,7.82,0.88,16.3,54.43,
493,8.16,0.92,15.91,55.83,
493,7.65,0.92,15.62,53.55,
493,6.63,0.87,15,50.97,
493,3.32,0.77,8.56,50.26,
493,3.35,0.77,7.75,56.33,
498,11.02,0.92,18.06,66.07,
498,11.28,0.89,17.78,71.3,
498,10.5,0.92,17.3,65.5,
503,10.05,0.8,17.33,72.5,
503,4.42,0.75,10.15,58.1,
503,10.6,0.81,17.78,73.6,
503,11.48,0.82,18.54,75.5,
503,10.66,0.83,18.01,71.3,
503,9.96,0.84,17.39,68.2,
511,11.63,0.86,18.16,72.62,
511,10.85,0.87,17.63,69.91,
511,10.14,0.91,15.66,72.07,
511,5.94,0.9,14.36,44.98,
517,10.5,0.9,16.8,69.3,
517,7.38,1.05,11.8,59.8,
517,11.2,0.92,17.3,70.5,
517,12.2,0.935,17.9,73.1,
517,11.4,0.945,16.7,72,
517,9.82,0.955,15.3,67.2,
517,7.74,0.975,13,61,
530,13.37,0.81,22.01,74,
530,12.67,0.78,22.25,73,
530,13.59,0.86,20.8,76,
530,14.29,0.89,20.58,78,
531,14.1,0.851,22.35,74.3,
531,13.1,0.885,20.81,70.9,
532,6.7,1,11.2,57,
532,7.5,1.03,11.6,61,
532,5.5,1.01,10.3,52,
532,4.7,1.03,9.6,47,
539,7.1,1.04,10.96,62.5,
539,6.8,1.03,10.67,62,
539,6.5,1.04,10.23,61.2,
539,6.1,1.04,9.55,61.2,
546,1.3237,1.0023,4.6405,28.4592,
546,1.2989,1.0249,4.4999,28.1633,
546,0.8543,0.9393,2.9061,31.2964,
546,0.6148,1.0029,2.2921,26.7482,
546,0.1884,1.0848,0.7172,24.2087,
546,0.1363,1.1087,0.494,24.8838,
546,0.0948,1.1009,0.3177,27.0967,
546,0.0561,1.1308,0.1917,25.8717,
546,1.1,0.95,3.78,31.3,
546,0.6,1.01,2.2,26.4,
546,5.3,0.98,12.48,43.1,
546,5.1,0.98,11.23,46.4,
558,0.19,1.26,0.49,30,
558,0.94,1.14,2.91,28,
558,3.48,1.05,7.42,45,
560,8.37,0.66,21.87,57,
560,11.78,0.92,17.54,73.04,
560,11.32,0.92,17.07,72.1,
560,8.65,0.82,16.42,64.24,
560,9.22,0.85,16.34,66.44,
560,7.8,0.88,13.3,66.65,
560,10.81,0.98,15.05,73.33,
560,10.04,0.72,23.23,60.04,
560,9.82,0.75,19.13,68.43,
560,13.06,0.86,20.7,73.34,
568,1.82,0.78,6.76,34,
568,5.07,0.72,13.84,51,
568,4.82,0.71,13.81,49,
568,4.29,0.73,11.25,52,
571,0.01,0.46,0.1,21,
571,0.0002,0.02,0.01,86,
577,5.67,0.84,12.7,56.3,
577,11.2,0.919,17.3,70.4,
579,7.44,0.88,13.86,61,
579,3.5,0.91,10.13,38,
582,7.25,0.77,15.08,57.75,
582,4.67,0.778,12.3,45.6,
582,5.57,0.76,12.13,57,
582,8.28,0.79,16.77,61.67,
582,7.84,0.777,15.85,62.55,
582,7.65,0.786,15.64,61.25,
585,11.14,0.723,23,67,
585,7.99,0.652,21.5,57,
586,9.25,0.89,16.77,62,
586,9.79,0.9,16.73,65,
586,9.21,0.89,16.41,63,
588,10.81,0.915,16.85,70.09,
588,9.09,0.904,16.12,62.36,
588,8.13,0.868,15.72,59.58,
588,7.38,0.882,15.72,53.11,
588,7.96,0.861,15.46,59.76,
588,8.59,0.889,15.4,62.71,
588,7.45,0.849,15.33,57.23,
588,7.51,0.908,15.22,54.32,
588,6.97,0.856,13.84,58.77,
588,7.71,0.905,12.98,65.62,
589,11.7,0.873,20.2,66.4,
589,8.2,0.742,18.43,59.7,
589,5.6,0.704,14.88,53.7,
589,6.3,0.709,15.32,57.7,
589,9,0.747,18.77,63.9,
589,12.6,0.883,20.9,68,
590,13.2,0.78,23.2,73,
590,12.3,0.79,22.2,70,
590,9.6,0.88,16.5,66,
590,8.9,0.89,15.2,66,
600,5.16,1.11,8.4,55,
601,10.62,0.793,19.28,69.5,
601,10.42,0.872,17.85,67.2,
601,11,0.909,17.3,70,
607,6.64,0.74,19.43,44.6,
607,8.82,0.8,16.26,68.44,
607,10.41,0.79,20.34,63.01,
607,9.93,0.78,20.71,60.02,
607,11.2,0.78,23.46,60.99,
609,3.6,1.17,5.95,51.6,
609,3.86,1.23,5.47,57.3,
609,4.85,1.18,7.39,55.6,
610,10,0.94,15.51,,
610,11,0.942,15.98,73.4,
610,9.1,0.978,13.31,69.9,
620,0.05,0.42,0.41,30,
620,5.62,0.78,11.2,65,
620,6.5,0.88,12.2,60,
623,9.29,1.06,13.48,65,
623,3.6,1.12,8.96,36,
628,13.45,0.79,22.67,75.2,
628,13.16,0.922,19.08,74.8,
628,14.18,0.842,22.03,76.4,
628,13.78,0.87,20.77,76.3,
628,13.69,0.901,19.78,76.8,
629,8.12,0.7,19.12,60.67,
629,10.29,0.94,17.72,61.78,
629,9.64,0.92,17.12,61.19,
632,10.29,0.942,15.38,71.15,
632,7.62,0.895,13,65.58,
635,3.11,0.93,7.83,43,
635,1.73,0.84,5.25,39,
644,9.72,0.875,15.65,71.05,
644,8.2,0.907,15.15,59.65,
644,4.62,0.925,10.63,46.93,
653,11.01,0.93,16.08,76.61,
653,10.6,0.925,16.01,71.61,
653,9.58,0.89,15.9,67.98,
653,10.12,0.93,15.49,70.27,
653,9.52,0.91,15.33,68.24,
653,9.42,0.93,14.75,68.71,
653,8.97,0.91,14.58,67.6,
653,7.93,0.905,13.56,64.62,
655,13.24,0.93,20.37,69.49,
655,13.03,0.89,19.8,74.04,
658,4.8,0.77,11.7,53,
658,5.6,0.9,10.5,59,
658,4.3,0.86,9,55,
658,3.9,0.97,7.2,56,
658,3,0.9,6.9,48,
658,3.7,0.98,6.1,62,
660,5.65,0.81,12.63,55.3,
660,2.7,0.72,8.57,43.7,
660,2.43,0.75,7.62,42.6,
660,2.75,0.7,6.98,56.5,
663,14.2,0.9,20.73,76,
663,13,0.898,20.65,70,
663,11.2,0.904,20.31,61,
663,11.5,0.896,20.05,64,
664,10.48,0.93,16.69,66.77,
664,11.47,0.94,17.02,72.24,
664,11.15,0.93,16.79,71.09,
664,10.26,0.92,16.51,67.29,
664,10.03,0.92,16.14,66.98,
684,1.9,0.89,5.53,37.7,
684,2.95,0.79,10.61,35.2,
691,13.1,0.88,20.9,71.1,
691,5.8,0.67,15,57.6,
696,8.67,1.07,14,57.88,
696,7.52,1.1,11.86,57.61,
696,6.66,0.89,11.36,65.81,
696,5.77,0.91,10.4,60.92,
698,8.42,0.864,15.21,64.1,
698,8,0.952,13.44,62.5,
698,6.31,1.002,10.36,60.7,
720,13.5,0.84,22.2,72.5,
720,11.5,0.89,19.4,66.7,
721,5.56,0.8,12.64,55,
721,5.4,0.81,11.96,55.7,
721,5.26,0.81,11.96,54.3,
721,4.51,0.8,11.92,47.3,
722,0.07,1.37,0.21,23,
722,5.67,1.21,8.68,54,
722,0.12,1.27,0.43,22,
722,5.06,0.94,9.96,54.04,
723,2.46,1.07,5.35,43,
723,1.86,0.9,3.98,52,
723,0.62,0.6,2.89,36,
723,0.57,0.91,2.09,30,
723,0.2,0.47,1.07,40,
723,3.28,1.02,5.45,59,
726,9.6,0.94,15.4,66,
730,12.14,0.84,21.4,67.5,
730,12.5,0.84,20.8,71.8,
730,11.6,0.85,18.5,73.3,
731,13.7,0.87,20.38,77,
731,10.5,1.02,15.78,65,
735,8.13,0.85,14.83,64.32,
735,7.23,0.86,14.34,58.67,
735,5.15,0.8,11.84,54.13,
735,4.46,0.8,11.76,47.31,
735,4.89,0.8,11.36,53.53,
737,10.9,0.64,25.12,67.6,
737,10.2,0.732,20.83,66.8,
737,7.1,0.611,18.07,64,
742,1.96,0.59,6.04,48.2,
742,1.47,0.59,5.71,37.97,
742,1.49,0.59,5.67,39.15,
742,1.9,0.62,5.49,49.42,
742,1.63,0.6,5.26,45.53,
742,1.6,0.58,4.96,49.16,
742,1.47,0.61,4.8,44.74,
742,1.19,0.6,4.63,38.46,
742,1.32,0.59,4.57,43.43,
742,1.54,0.6,4.19,54.02,
754,1.54,0.814,5.04,36,
754,1.2,0.96,4.2,29,
754,1.61,0.784,5.98,35,
758,4.81,0.95,7.34,69,
758,4.37,0.96,6.41,71,
758,4.03,1,6.02,67,
758,3.2,0.99,4.83,67,
760,11.24,0.909,18.27,68,
760,10.52,0.929,17.92,63,
760,9.52,0.893,16.66,64,
760,9.14,0.928,16.15,61,
764,6.63,0.84,12.22,64.58,
764,6.51,0.887,10.93,67.17,
769,4.27,0.87,10.38,46.72,
769,5.95,0.82,12.32,58.72,
769,5.06,0.82,10.82,56.86,
769,3.95,0.87,9.32,48.9,
773,12.8,0.712,27.3,65.7,
773,11.2,0.699,24.5,65.5,
773,9.97,0.734,24.1,56.3,
773,9.41,0.736,23.7,53.6,
783,7.3,0.74,14.7,67,
783,7.2,0.73,14.6,68,
783,6.2,0.73,14.5,59,
783,6.3,0.73,14.4,60,
783,6.9,0.82,12.9,65,
783,5.4,0.72,12.9,58,
783,5.2,0.78,12.4,54,
783,4.6,0.74,11.8,53,
783,3.7,0.81,9.4,49,
783,2.1,0.77,5.6,49,
786,0.06,0.42,0.73,21,
786,0.01,0.43,0.26,14,
786,0.02,0.39,0.16,25,
786,0.12,0.36,0.98,34,
789,6.79,0.922,11.2,65.9,
789,5.9,0.928,9.54,66.6,
789,5.68,0.922,9.23,66.7,
789,4.88,1.009,8.98,53.8,
789,5.21,0.94,8.84,62.7,
789,5.37,0.928,8.52,67.9,
789,4.46,1.003,8.25,53.9,
789,4.45,0.916,7.44,65.3,
793,10.07,0.895,17.07,65.9,
793,10.51,0.909,16.95,68.2,
793,7.23,0.917,14.65,53.8,
793,7.09,0.954,14.02,53,
794,12.41,0.87,19.7,73,
794,13.2,0.94,19.6,72,
794,11.71,0.95,18.5,66,
794,10,0.89,17,66,
799,9.21,0.89,17.31,59.61,
799,8.44,0.89,16.49,57.53,
799,7.73,0.78,14.58,67.91,
799,5.95,0.76,13.05,59.83,
799,4.02,0.9,10.58,42.13,
799,2.86,0.85,7.19,46.76,
801,8.16,0.771,18.72,55.7,
801,10.21,0.76,21.92,61.3,
801,3.12,0.863,8.53,42.4,
805,4.4,0.91,9.4,48,
805,4.4,0.9,9.3,48,
805,0.8,0.75,3.4,28,
805,0.4,0.76,1.8,32,
805,2.4,0.88,5.9,44,
805,0.7,0.78,3.2,27,
805,1.7,0.93,4.5,40,
807,8.25,1.15,10.84,66.17,
807,3.02,1.24,5.21,46.71,
807,0.26,1.29,0.84,23.88,
809,10.14,0.91,15.66,72,
809,9.6,0.88,15.35,70,
809,6.21,0.92,14.22,48,
809,8.1,0.95,13.38,63,
809,9.1,0.85,15.86,68,
811,7.51,0.8,14.79,59.1,
811,7.33,0.8,14.19,60.1,
811,7.31,0.8,13.82,61.6,
811,6.17,0.78,12.99,56.7,
811,9.03,0.92,14.56,67.4,
811,9.28,0.92,15.18,66.4,
811,6.69,0.88,12.55,60.6,
811,8.05,0.92,14.3,61.2,
816,11.04,0.94,16.58,70.7,
816,10.73,0.942,15.86,71.8,
816,10.45,0.942,15.51,71.4,
816,9.51,0.932,15.5,65.8,
816,10.19,0.943,15.33,70.5,
816,9.04,0.923,15.31,64,
828,7.51,0.798,14.05,67,
828,8.56,0.862,13.96,71.1,
828,8.59,0.871,13.84,71.2,
828,7.39,0.805,13.54,67.8,
828,7.98,0.864,13.21,69.9,
828,7.25,0.912,11.83,67.2,
828,6.95,0.915,11.1,68.4,
830,10.54,0.896,16.55,70.73,
830,11.52,0.95,16.37,74.06,
835,10.6,0.73,20.24,72,
835,12.2,0.97,17.76,71,
835,10.4,1,15.54,67,
835,13.1,0.96,18.71,70,
835,8.2,0.93,14.28,59,
835,11.7,0.95,18.14,66,
835,11.3,0.94,18.1,64,
835,12,0.96,18.37,67,
845,12.3,0.9,19.7,69.3,
845,11.2,0.902,18.5,67.2,
845,7.31,0.766,16.1,59.2,
845,7.45,0.775,15.7,61.2,
848,2.72,1.04,6.57,40,
856,7.27,0.88,16.64,49,
856,8.54,0.84,19.29,53,
856,5.63,0.93,12.27,49,
862,1.81,1.07,4.84,35.15,
862,1.5,1.03,4,36.52,
862,3.28,1.05,7.4,42.37,
862,2.09,1.07,5.04,38.59,
866,9.43,1.02,15.91,58.1,
866,12.8,1.1,17.78,65.4,
866,11.72,1.01,17.15,67.7,
866,10.26,1.08,17.01,55.9,
866,12.66,2.14,9.31,63.5,
866,13.35,2.13,9.77,64.1,
866,11.92,2.13,9.1,61.5,
868,3.61,1.28,5.64,50,
868,2.68,1.25,4.88,44,
869,12.78,0.85,21.47,70.03,
869,11.34,0.84,21.29,63.41,
869,14.57,0.87,20.73,80.79,
869,13.29,0.87,20.68,73.87,
869,7.96,0.74,17.14,62.76,
869,8.73,0.78,16.78,66.7,
870,2.82,0.83,6.36,53,
872,0.26,0.74,1.09,31.52,
872,3.85,0.74,10.71,48.69,
872,0.98,0.74,3.22,41.37,
873,7.2,0.939,13.57,56.5,
873,2.33,0.962,7.1,34.1,
873,2.76,0.983,6.74,41.7,
873,1.6,0.987,5.36,30.2,
879,8.71,0.87,15.4,63,
879,6.76,0.8,14.2,57,
879,8.78,0.87,15.3,64,
879,9.76,0.9,16,66,
879,8.18,0.84,14.6,64,
883,9.38,0.902,15.06,69,
887,5.81,1.05,10.92,51,
896,0.58,0.72,1.72,46.3,
896,0.28,0.67,1.02,40.3,
896,0.2,0.65,0.77,40.2,
898,9.06,0.751,17.19,70.07,
898,10.7,0.962,16.34,68.33,
900,4.45,0.831,11.45,46.73,
900,3.62,0.808,11.33,39.53,
903,10.48,0.69,23.84,63.8,
905,12.2,0.946,16.58,78,
905,7.4,0.993,13.01,57,
906,10.1,0.91,17.11,64.9,
906,9.39,0.97,13.65,70.9,
906,9.97,0.96,14.61,71.1,
906,10.84,0.95,15.96,71.5,
906,11.59,0.94,17.05,72.3,
906,12.27,0.93,17.86,73.9,
906,11.03,0.92,17.42,68.8,
907,7.34,0.89,14.47,57.64,
907,9.61,0.8,22.83,52.66,
907,10.54,0.81,20.6,63.18,
907,7.64,0.78,19.81,49.48,
907,9.72,0.84,19.73,58.67,
920,0.0656,0.29,0.657,36.51,
920,0.1052,0.3,1.0021,35.99,
920,0.0233,0.29,0.2291,34.14,
920,0.1949,0.3,1.7203,37.11,
929,6.85,1.04,11.55,57.04,
932,12.74,0.86,20.67,71.2,
937,8.9,0.99,14.31,62.9,
946,7.39,0.81,16.56,55.02,
946,8.43,0.82,16.17,63.4,
946,7.64,0.82,15.58,60.01,
946,0.54,0.85,1.86,34.01,
946,0.4,0.82,1.7,28.63,
946,0.42,0.87,1.56,31.07,
949,10.11,0.905,15.18,73.55,
949,5.32,0.768,10.77,64.4,
955,3.92,0.89,10.9,40,
955,8.13,0.9,16.8,53.8,
955,8.89,0.9,16.6,59.5,
955,7.03,0.89,14.4,55.3,
955,5.28,0.91,12.1,47.5,
955,4.23,0.92,10.1,45.4,
957,6.23,0.96,11.26,57.58,
1011,9.5,0.94,15.6,65,
1011,9.4,0.93,15.4,66,
1011,8.9,0.95,14.5,65,
1011,8.8,0.94,14.1,66,
1011,6.4,1.04,10.6,58,
1021,4.94,0.774,12.26,52.1,
1021,3.83,0.745,10.09,50.9,
1021,4.12,0.757,9.94,54.6,
1021,3.88,0.781,9.37,53,
1021,3.67,0.775,9.14,51.8,
1021,3.05,0.774,8.66,45.5,
1021,2.95,0.759,7.09,54.8,
1021,2.47,0.765,7.05,45.7,
1022,7.51,0.84,17.1,52.3,
1022,3.7,0.84,8.39,52.7,
1022,7.32,0.84,16.02,54.4,
1022,7.66,0.84,17.85,51.1,
1022,8.64,0.84,18.37,56,
1022,7.09,0.84,14.99,56.3,
1032,10.24,0.87,18.29,64.34,
1032,8.64,0.88,17.86,54.97,
1032,9.43,0.91,16.84,61.53,
1032,8.11,0.92,15.53,56.76,
1033,7.74,0.712,18.53,59,
1033,4.87,0.74,12.85,50,
1033,6.3,0.708,16.01,55,
1033,9.58,0.73,20.75,63,
1033,7.02,0.71,17.23,57,
1033,4.4,0.7,13.38,47,
1044,13.1,0.88,20.88,71.3,
1044,12.97,0.88,20.5,71.9,
1044,11.1,0.86,18.93,68.2,
1044,11.05,0.9,17.03,72.1,
1053,12.1,0.849,19.33,73.73,
1053,8.88,0.915,15.84,61.26,
1058,1.35,0.78,6.16,28,
1058,1.06,0.76,5.2,27,
1058,0.94,0.75,4.47,28,
1058,0.86,0.76,3.88,29,
1059,7.6,0.8,15.1,62.9,
1059,6.9,0.83,14.3,58.1,
1060,5.71,0.96,10.3,57.7,
1060,5.68,0.96,10.1,58.6,
1060,4.31,0.87,9.6,51.6,
1060,4.65,0.91,9.4,54.4,
1060,3.71,0.99,7.8,48,
1061,5.24,1.02,7.34,70,
1061,4.21,1.24,6.29,54,
1061,4.5,1.22,6.15,60,
1061,1.78,1.23,4.02,36,
1063,9.73,0.977,15.21,65.46,
1063,5.37,0.988,10.99,49.54,
1063,5.51,0.955,10.51,54.89,
1063,1.83,0.969,4.94,38.2,
1068,10.42,0.868,17.85,67.2,
1068,8.99,0.872,16.97,60.8,
1069,6.31,0.84,13.79,53.1,
1069,7.11,0.84,14.6,57.7,
1070,4.2,0.697,11.69,51.6,
1070,3.69,0.7,11.16,47.2,
1070,3.54,0.707,10.1,49.5,
1070,4.01,0.753,9.89,53.8,
1070,3.31,0.753,9.49,46.3,
1070,2.91,0.759,8.61,44.5,
1072,2.06,0.83,5.65,44,
1072,1.19,0.77,3.84,40,
1078,8.24,0.95,13.12,66.1,
1078,7.34,0.98,13.07,57.2,
1078,6.82,0.98,12.76,54.6,
1078,6.51,0.98,11.88,55.8,
1082,1.65,0.85,6.08,31,
1082,4.12,0.82,10.69,47,
1082,3.41,0.81,8.97,47,
1082,2.17,0.83,7.91,33,
1082,1.49,0.68,4.86,45,
1082,2.18,0.72,5.22,58,
1087,10.3,1.01,14.1,72.3,
1087,8.4,1.01,13.5,61.1,
1087,9.1,1.02,13.2,67.2,
1087,5.8,1.01,9.3,62.1,
1114,3.9,1,7.44,51.6,
1114,2.2,1,6.23,34.7,
1114,2,1.01,5.79,34.6,
1114,1.6,0.99,4.51,35.1,
1114,5.6,0.98,11.32,50.1,
1114,4.7,0.98,9.58,50.4,
1114,2.2,0.97,6.41,35.2,
1115,9.08,0.98,14.25,65,
1115,7.47,1.02,14.17,52,
1115,8.25,0.97,13.49,63,
1115,5.03,1.05,11.37,42,
1121,1.41,0.9,2.78,56,
1121,1.45,0.9,2.79,57,
1121,1.57,0.88,3.06,58,
1121,1.28,0.9,2.49,57,
1121,1.15,0.86,2.34,57,
1121,1.05,0.85,2.3,54,
1132,3.08,1.26,5.82,41.94,
1132,3.2,1.3,5.41,45.51,
1132,1.82,1.28,3.17,44.92,
1132,0.85,0.91,2.23,42.04,
1149,2.5,0.72,9.6,36.1,
1149,2.42,0.79,8.09,37.9,
1149,1.38,0.824,4.66,36,
1149,0.67,0.681,2.93,33.7,
1153,5.8,0.96,8.78,65,
1153,4.52,1.02,7.55,54,
1162,4.8,0.97,11.3,43.1,
1162,4.4,0.98,10.3,43.1,
1162,4.7,0.92,12.3,41.2,
1162,4.7,0.93,12,42.2,
1162,4.8,0.94,11.6,43.7,
1162,4.6,0.95,10.8,44.6,
1162,4.8,0.95,10.7,47.6,
1165,11.24,0.95,18.2,65.01,
1165,11.34,0.95,17.87,66.8,
1165,11.07,0.95,17.83,65.35,
1165,8.9,0.83,17.16,62.49,
1165,6.68,0.69,16.16,59.91,
1177,3.07,0.64,7.01,69,
1177,0.67,0.78,2.24,38,
1186,9.4,0.833,15.7,72.3,
1186,8.1,0.831,14.4,67.6,
1186,7.2,0.836,13.9,62.2,
1186,6.9,0.83,13.5,61.7,
1186,6.4,0.835,13.3,57.8,
1193,1.73,0.89,3.89,50,
1193,1.12,0.68,2.88,57,
1193,0.75,0.86,2.35,37,
1193,0.55,0.86,2.14,30,
1193,0.72,0.64,2.03,55,
1193,0.82,0.65,1.96,64,
1193,0.77,0.63,1.93,63,
1193,0.092,0.4,0.55,42,
1195,4.1,0.69,9.6,61,
1195,1.9,0.78,4.2,59,
1195,3.8,0.68,9.3,60,
1195,3.9,0.78,8,63,
1206,10,0.739,22.8,59.4,
1206,9.4,0.734,21.9,58.5,
1206,10.5,0.737,23.7,60.3,
1206,10.9,0.731,25.3,58.9,
1206,10.1,0.732,23.9,58,
1214,5.33,0.97,11.28,48.72,
1214,4.57,0.96,9.42,50.79,
1214,3.25,0.95,7.15,47.82,
1214,2.7,0.95,5.72,49.87,
1216,9.21,0.95,14.3,67.9,
1216,7.13,0.896,13.6,58.5,
1222,7.13,0.77,14.64,64,
1222,5.51,0.76,13.69,53,
1230,2.49,1.16,4.45,47,
1230,0.2,1.23,0.69,23,
1230,0.4,1.15,1.32,26,
1230,1.18,1.11,2.93,36,
1309,5.37,0.79,12.37,55,
1309,5.14,0.79,11.85,54.9,
1309,4.65,0.79,11.21,52.5,
1309,4.45,0.8,10.21,54.4,
1330,9.6,0.88,16.24,67.1,
1330,8.7,0.8,15.93,68,
1330,7.5,0.9,15.8,52.8,
1330,7.5,0.8,15.15,61.8,
1353,3.58,0.7,9.98,51,
1353,2.81,0.71,7.92,50.1,
1371,2.48,0.9,5.31,52,
1371,2.81,0.9,5.18,60,
1371,2.29,0.87,4.15,63,
1371,1.53,0.94,3.52,46,
1399,3.84,1.15,7.42,45,
1399,1.76,1.15,4.51,34,
1464,0.54,0.92,1.49,39.8,
1464,0.23,0.74,0.85,37.3,
1464,0.28,1.06,0.68,38.4,
1464,1.39,1.05,2.36,56.1,
